"","Symbol","P_counts","P_study_names","AdjP_counts","AdjP_study_names","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","P_value_study_count","AdjP_value_study_count"
"4373","CTC-265F19",0,"",0,"",0,0,0,0,0,0,0,0,0
"4374","SLC35F2",7,"goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser2BaselineVSsevenAll obermoser3BaselineVSsevenAll larocca",3,"goschNineHrMain goschSixHrMain obermoser3BaselineVSsevenAll",0,0,3,3,0,0,1,3,2
"4375","GHRLOS",0,"",0,"",0,0,0,0,0,0,0,0,0
"4376","SP2-AS1",0,"",0,"",0,0,0,0,0,0,0,0,0
"4377","RP11-476D10",0,"",0,"",0,0,0,0,0,0,0,0,0
"4378","PPP1R26",0,"",0,"",0,0,0,0,0,0,0,0,0
"4379","SRR",5,"meaburn2 goschEighteenHrMain goschNineHrMain goschTwelveHrMain obermoser3BaselineVSsevenAll",1,"goschTwelveHrMain",0,1,3,1,0,0,0,3,1
"4380","UNKL",11,"goschNineHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll rusch",5,"goschNineHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll",0,0,1,9,0,1,0,3,2
"4381","CTB-31N19",0,"",0,"",0,0,0,0,0,0,0,0,0
"4382","PMM2",4,"goschNineHrMain obermoser3BaselineVStenAll obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll",1,"goschNineHrMain",0,0,1,3,0,0,0,2,1
"4383","ZDHHC20",5,"goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain rusch",2,"goschNineHrMain goschTwelveHrMain",0,0,4,0,0,1,0,2,1
"4384","HLA-DQA2",0,"",0,"",0,0,0,0,0,0,0,0,0
"4385","MT-CO1",0,"",0,"",0,0,0,0,0,0,0,0,0
"4386","CTD-2553L13-10",0,"",0,"",0,0,0,0,0,0,0,0,0
"4387","B3GNT5",6,"goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVStenALL obermoser4BaselineVSnineAll rusch",3,"goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL",0,0,2,3,0,1,0,3,2
"4388","AP000692",0,"",0,"",0,0,0,0,0,0,0,0,0
"4389","LINC00115",9,"meaburn2 goschEighteenHrMain goschTwentyoneHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVStwelveAll obermoser4BaselineVSzeroAll",2,"meaburn2 obermoser4BaselineVStwelveAll",0,1,2,6,0,0,0,3,2
"4390","ROM1",10,"obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll obermoser4BaselineVSzeroAll rusch",3,"obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll",0,0,0,9,0,1,0,2,1
"4391","FAM69B",0,"",0,"",0,0,0,0,0,0,0,0,0
"4392","MED15",6,"goschSixHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSthirtySixAll",2,"goschSixHrMain obermoser4BaselineVSthirtySixAll",0,0,2,4,0,0,0,2,2
"4393","PARK2",1,"goschTwelveHrMain",0,"",0,0,1,0,0,0,0,1,0
"4394","LYG1",0,"",0,"",0,0,0,0,0,0,0,0,0
"4395","LRRC17",0,"",0,"",0,0,0,0,0,0,0,0,0
"4396","CTB-131B5",0,"",0,"",0,0,0,0,0,0,0,0,0
"4397","IGLV10-54",0,"",0,"",0,0,0,0,0,0,0,0,0
"4398","APCDD1",5,"goschFifteenHrMain goschTwentyoneHrMain obermoser1BaseVSoneALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSsixAll",1,"goschFifteenHrMain",0,0,2,3,0,0,0,2,1
"4399","TTC34",6,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain rusch",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",0,0,5,0,0,1,0,2,1
"4400","DLEC1",4,"goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser3BaselineVStwentyEightAll",1,"goschTwelveHrMain",0,0,2,2,0,0,0,2,1
"4401","STPG1",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",0,0,4,0,0,0,0,1,1
"4402","TRBV14",0,"",0,"",0,0,0,0,0,0,0,0,0
"4403","SPATA41",1,"goschNineHrMain",1,"goschNineHrMain",0,0,1,0,0,0,0,1,1
"4404","GARNL3",4,"meaburn2 goschSixHrMain goschThreeHrMain goschTwelveHrMain",0,"",0,1,3,0,0,0,0,2,0
"4405","SEPT10",0,"",0,"",0,0,0,0,0,0,0,0,0
"4406","ZC3H7B",8,"meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser3BaselineVSthreeAll",4,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain",0,1,6,1,0,0,0,3,1
"4407","PAQR9",4,"goschNineHrMain obermoser1BaseVSzeroALL obermoser3BaselineVSpoint5All rusch",0,"",0,0,1,2,0,1,0,3,0
"4408","CTB-12A17",0,"",0,"",0,0,0,0,0,0,0,0,0
"4409","RP11-203M5",0,"",0,"",0,0,0,0,0,0,0,0,0
"4410","TMEM45A",4,"goschSixHrMain obermoser2BaselineVSsevenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVStwentyFourAll",0,"",0,0,1,3,0,0,0,2,0
"4411","AC090616",0,"",0,"",0,0,0,0,0,0,0,0,0
"4412","GTSE1",3,"goschNineHrMain dusek rusch",1,"goschNineHrMain",0,0,1,0,1,1,0,3,1
"4413","RP5-862P8",0,"",0,"",0,0,0,0,0,0,0,0,0
"4414","HNRNPA3P7",0,"",0,"",0,0,0,0,0,0,0,0,0
"4415","TRAJ37",0,"",0,"",0,0,0,0,0,0,0,0,0
"4416","LACTB2-AS1",0,"",0,"",0,0,0,0,0,0,0,0,0
"4417","STYK1",3,"goschFifteenHrMain goschNineHrMain rusch",1,"goschNineHrMain",0,0,2,0,0,1,0,2,1
"4418","PIGHP1",0,"",0,"",0,0,0,0,0,0,0,0,0
"4419","ZNF440",2,"meaburn2 obermoser3BaselineVSsevenAll",0,"",0,1,0,1,0,0,0,2,0
"4420","MED26",1,"rusch",0,"",0,0,0,0,0,1,0,1,0
"4421","CHTF18",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",1,"goschTwelveHrMain",0,0,3,0,0,0,0,1,1
"4422","MAFK",9,"meaburn1 obermoser1BaseVSthreeALL obermoser3BaselineVStwentyEightAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwentyFourAll rusch",0,"",0,1,0,7,0,1,0,3,0
"4423","RP11-7F17",0,"",0,"",0,0,0,0,0,0,0,0,0
"4424","AE000661-37",0,"",0,"",0,0,0,0,0,0,0,0,0
