"","Symbol","P_counts","P_study_names","AdjP_counts","AdjP_study_names","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","P_value_study_count","AdjP_value_study_count"
"11430","BABAM1",5,"goschNineHrMain goschSixHrMain obermoser1BaseVStenALL obermoser1BaseVStwentyOneALL obermoser4BaselineVSfortyEightAll",1,"goschNineHrMain",0,0,2,3,0,0,0,2,1
"11431","RSPH3",13,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll rusch",2,"goschTwelveHrMain obermoser4BaselineVStwelveAll",0,0,3,9,0,1,0,3,2
"11432","PAIP1",4,"meaburn2 obermoser4BaselineVSfifteenAll obermoser4BaselineVSthirtySixAll rusch",0,"",0,1,0,2,0,1,0,3,0
"11433","CDA",9,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser3BaselineVSsevenAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVSthreeAll obermoser4BaselineVSzeroAll",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",0,0,4,5,0,0,0,2,1
"11434","HAT1",9,"goschFifteenHrMain goschNineHrMain goschTwentyoneHrMain obermoser1BaseVSsevenALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVStwentyFourAll rusch",2,"goschFifteenHrMain goschNineHrMain",0,0,3,5,0,1,0,3,1
"11435","FRMD3",9,"meaburn1 goschNineHrMain goschTwelveHrMain obermoser1BaseVStwentyOneALL obermoser2BaselineVSsevenAll obermoser3BaselineVStenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll",3,"goschNineHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll",0,1,2,6,0,0,0,3,2
"11436","MARCH5",0,"",0,"",0,0,0,0,0,0,0,0,0
"11437","EIF1B",11,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser1BaseVStenALL obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll",5,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",0,0,5,6,0,0,0,2,1
"11438","MXI1",19,"meaburn1 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser1BaseVStenALL obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL obermoser3BaselineVSpoint5All obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll",6,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser4BaselineVSfifteenAll",0,1,5,13,0,0,0,3,2
"11439","CABIN1",3,"goschEighteenHrMain goschNineHrMain goschTwelveHrMain",0,"",0,0,3,0,0,0,0,1,0
"11440","PTGER4",6,"meaburn2 goschFifteenHrMain goschTwelveHrMain obermoser3BaselineVSthreeAll obermoser4BaselineVSnineAll rusch",2,"goschFifteenHrMain goschTwelveHrMain",0,1,2,2,0,1,0,4,1
"11441","MFNG",7,"goschFifteenHrMain goschTwelveHrMain obermoser1BaseVStwentyEightALL obermoser3BaselineVStenAll obermoser4BaselineVStwelveAll obermoser4BaselineVSzeroAll rusch",1,"goschTwelveHrMain",0,0,2,4,0,1,0,3,1
"11442","VPS18",6,"goschNineHrMain obermoser1BaseVSsevenALL obermoser1BaseVStenALL obermoser1BaseVStwentyOneALL obermoser4BaselineVSfifteenAll rusch",0,"",0,0,1,4,0,1,0,3,0
"11443","ASTE1",5,"obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser1BaseVStwentyEightALL obermoser3BaselineVStenAll obermoser4BaselineVSfifteenAll",1,"obermoser1BaseVSsevenALL",0,0,0,5,0,0,0,1,1
"11444","TLR5",6,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser4BaselineVStwelveAll",3,"goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL",0,0,3,3,0,0,0,2,2
"11445","SNX27",9,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser1BaseVSsevenALL obermoser3BaselineVSpoint5All obermoser3BaselineVStwentyEightAll",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",0,0,6,3,0,0,0,2,1
"11446","PLAGL2",4,"obermoser3BaselineVSpoint5All obermoser4BaselineVSfifteenAll obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll",1,"obermoser4BaselineVSthirtySixAll",0,0,0,4,0,0,0,1,1
"11447","AK6",3,"meaburn2 goschSixHrMain rusch",0,"",0,1,1,0,0,1,0,3,0
"11448","RWDD1",5,"meaburn2 obermoser3BaselineVSsevenAll obermoser3BaselineVSzeroAll obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll",0,"",0,1,0,4,0,0,0,2,0
"11449","FCGR2A",11,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser2BaselineVSsevenAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVStwelveAll",5,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVSsevenALL",0,0,5,6,0,0,0,2,2
"11450","ACTR5",3,"goschFifteenHrMain goschTwelveHrMain dusek",1,"goschTwelveHrMain",0,0,2,0,1,0,0,2,1
"11451","LMAN2L",2,"obermoser1BaseVSoneALL obermoser1BaseVSsevenALL",0,"",0,0,0,2,0,0,0,1,0
"11452","AEN",4,"goschNineHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser4BaselineVSsixAll",2,"goschNineHrMain goschTwelveHrMain",0,0,2,2,0,0,0,2,1
"11453","SLC4A1AP",2,"obermoser3BaselineVSpoint5All rusch",0,"",0,0,0,1,0,1,0,2,0
"11454","ZBTB2",6,"obermoser3BaselineVStwentyEightAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVStwentyFourAll rusch",0,"",0,0,0,5,0,1,0,2,0
"11455","CARD16",15,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVSzeroALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll obermoser4BaselineVSzeroAll rusch larocca",5,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll",0,0,5,8,0,1,1,4,2
"11456","C5orf22",3,"meaburn2 obermoser4BaselineVStwelveAll rusch",0,"",0,1,0,1,0,1,0,3,0
"11457","UBE2H",13,"meaburn1 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser1BaseVSsevenALL obermoser1BaseVStwentyOneALL obermoser2BaselineVSsevenAll obermoser3BaselineVSpoint5All obermoser4BaselineVSthirtySixAll rusch",5,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSsevenALL",0,1,5,6,0,1,0,4,2
"11458","FRMD4B",3,"goschNineHrMain goschTwelveHrMain rusch",2,"goschNineHrMain goschTwelveHrMain",0,0,2,0,0,1,0,2,1
"11459","AKR1C3",15,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser3BaselineVSoneAll obermoser3BaselineVSpoint5All obermoser3BaselineVStenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll",4,"goschNineHrMain goschSixHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll",0,0,5,10,0,0,0,2,2
"11460","GALNT1",6,"meaburn2 goschFifteenHrMain goschNineHrMain goschTwelveHrMain goschTwentyoneHrMain rusch",2,"goschNineHrMain goschTwelveHrMain",0,1,4,0,0,1,0,3,1
"11461","PHOSPHO1",9,"meaburn1 meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVStwelveAll",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",0,2,5,2,0,0,0,3,1
"11462","SP140",9,"obermoser1BaseVSfourteenALL obermoser1BaseVSsevenALL obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL obermoser1BaseVSzeroALL obermoser2BaselineVSsevenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwentyFourAll",0,"",0,0,0,9,0,0,0,1,0
"11463","ZNF331",10,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser1BaseVSoneALL obermoser1BaseVSzeroALL obermoser4BaselineVSnineAll dusek rusch",2,"goschNineHrMain goschTwelveHrMain",0,0,5,3,1,1,0,4,1
"11464","RAN",4,"goschNineHrMain goschSixHrMain goschTwelveHrMain rusch",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",0,0,3,0,0,1,0,2,1
"11465","SH3TC1",1,"goschSixHrMain",0,"",0,0,1,0,0,0,0,1,0
"11466","PCNT",3,"obermoser1BaseVSoneALL obermoser1BaseVSthreeALL obermoser4BaselineVSnineAll",1,"obermoser1BaseVSoneALL",0,0,0,3,0,0,0,1,1
"11467","SEC61A1",5,"obermoser1BaseVSsevenALL obermoser2BaselineVSsevenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll rusch",1,"obermoser1BaseVSsevenALL",0,0,0,4,0,1,0,2,1
"11468","GZMB",13,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser1BaseVSoneALL obermoser1BaseVStenALL obermoser1BaseVStwentyEightALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVStwentyFourAll larocca",7,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser4BaselineVSfifteenAll",0,0,5,7,0,0,1,3,2
"11469","SDHAF2",1,"goschTwelveHrMain",0,"",0,0,1,0,0,0,0,1,0
"11470","NIPSNAP1",7,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser1BaseVStwentyOneALL rusch",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",0,0,4,2,0,1,0,3,1
"11471","PILRB",6,"obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser1BaseVSthreeALL obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL obermoser4BaselineVSnineAll",0,"",0,0,0,6,0,0,0,1,0
"11472","FXR2",10,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL obermoser4BaselineVSfifteenAll obermoser4BaselineVStwelveAll rusch larocca",3,"goschNineHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll",0,0,4,4,0,1,1,4,2
"11473","PGD",7,"goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser4BaselineVSsixAll obermoser4BaselineVSthreeAll rusch",2,"goschNineHrMain goschTwelveHrMain",0,0,3,3,0,1,0,3,1
"11474","ZDHHC4",5,"goschEighteenHrMain goschNineHrMain goschSixHrMain goschThreeHrMain goschTwelveHrMain",2,"goschNineHrMain goschSixHrMain",0,0,5,0,0,0,0,1,1
"11475","TMOD1",19,"meaburn1 meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser1BaseVStenALL obermoser1BaseVSthreeALL obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll rusch",8,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll",0,2,5,11,0,1,0,4,2
"11476","UBA6",4,"meaburn1 meaburn2 dusek rusch",0,"",0,2,0,0,1,1,0,3,0
"11477","VAV1",4,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser3BaselineVSpoint5All",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",0,0,3,1,0,0,0,2,1
"11478","CEACAM1",16,"meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser3BaselineVSpoint5All obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll rusch",8,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll",0,1,4,10,0,1,0,4,2
"11479","MRPS34",1,"obermoser3BaselineVStenAll",0,"",0,0,0,1,0,0,0,1,0
"11480","MCRIP2",2,"obermoser1BaseVSthreeALL obermoser3BaselineVStwentyEightAll",0,"",0,0,0,2,0,0,0,1,0
"11481","B3GALT6",10,"goschTwelveHrMain obermoser1BaseVStenALL obermoser1BaseVSzeroALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSone obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwentyFourAll obermoser4BaselineVSzeroAll",3,"goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSthirtySixAll",0,0,1,9,0,0,0,2,2
"11482","PCK2",2,"obermoser3BaselineVSsevenAll obermoser4BaselineVSfifteenAll",0,"",0,0,0,2,0,0,0,1,0
"11483","PDE4DIP",11,"meaburn1 meaburn2 goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVSzeroALL obermoser3BaselineVSpoint5All obermoser3BaselineVSthreeAll obermoser4BaselineVSthreeAll rusch",4,"meaburn2 goschNineHrMain goschSixHrMain goschTwelveHrMain",0,2,3,5,0,1,0,4,2
"11484","FUS",9,"meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser1BaseVSsevenALL dusek rusch",4,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain",0,1,5,1,1,1,0,5,1
"11485","ZFR",2,"meaburn2 rusch",0,"",0,1,0,0,0,1,0,2,0
"11486","IQCB1",6,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser3BaselineVSthreeAll rusch",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",0,0,3,2,0,1,0,3,1
"11487","GPATCH1",4,"goschEighteenHrMain obermoser1BaseVSoneALL obermoser4BaselineVStwelveAll larocca",0,"",0,0,1,2,0,0,1,3,0
"11488","SLFN5",9,"goschNineHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL obermoser3BaselineVSthreeAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSone rusch",2,"goschNineHrMain goschTwelveHrMain",0,0,2,6,0,1,0,3,1
"11489","ZNF117",7,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain rusch",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",0,0,6,0,0,1,0,2,1
"11490","FCRL3",5,"goschNineHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser4BaselineVSnineAll obermoser4BaselineVSthreeAll",2,"goschNineHrMain goschTwelveHrMain",0,0,2,3,0,0,0,2,1
"11491","LCLAT1",4,"obermoser3BaselineVStenAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVSzeroAll",0,"",0,0,0,4,0,0,0,1,0
"11492","OXCT1",6,"meaburn2 goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL rusch",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",0,1,3,1,0,1,0,4,1
"11493","ICMT",9,"goschNineHrMain goschSixHrMain goschThreeHrMain obermoser3BaselineVStenAll obermoser3BaselineVSthreeAll obermoser3BaselineVStwentyEightAll obermoser4BaselineVSone obermoser4BaselineVStwentyFourAll rusch",0,"",0,0,3,5,0,1,0,3,0
"11494","RPUSD3",10,"meaburn1 goschFifteenHrMain goschSixHrMain goschThreeHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVStwelveAll rusch",2,"goschFifteenHrMain goschTwelveHrMain",0,1,5,3,0,1,0,4,1
"11495","PDZD11",4,"obermoser4BaselineVSfortyEightAll obermoser4BaselineVSone obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwentyFourAll",0,"",0,0,0,4,0,0,0,1,0
"11496","UBTD1",13,"meaburn2 goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVStwentyOneALL obermoser3BaselineVSsevenAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll rusch",3,"goschNineHrMain goschTwelveHrMain obermoser4BaselineVSsixAll",0,1,3,8,0,1,0,4,2
"11497","EXOC5",5,"obermoser1BaseVSoneALL obermoser3BaselineVSoneAll obermoser4BaselineVSfifteenAll obermoser4BaselineVStwentyFourAll rusch",0,"",0,0,0,4,0,1,0,2,0
"11498","TPPP3",9,"meaburn2 goschEighteenHrMain goschNineHrMain goschSixHrMain obermoser1BaseVStenALL obermoser3BaselineVSpoint5All obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSthirtySixAll",2,"goschNineHrMain goschSixHrMain",0,1,3,5,0,0,0,3,1
"11499","SMIM15",7,"meaburn2 goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser2BaselineVSzeroAll rusch",2,"goschNineHrMain goschTwelveHrMain",0,1,4,1,0,1,0,4,1
"11500","KEAP1",4,"obermoser1BaseVSthreeALL obermoser3BaselineVSpoint5All obermoser3BaselineVStenAll obermoser4BaselineVSone",0,"",0,0,0,4,0,0,0,1,0
"11501","SHQ1",1,"rusch",0,"",0,0,0,0,0,1,0,1,0
"11502","CCDC146",4,"goschNineHrMain goschTwelveHrMain obermoser1BaseVSsevenALL rusch",1,"obermoser1BaseVSsevenALL",0,0,2,1,0,1,0,3,1
"11503","CXorf21",5,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",0,0,5,0,0,0,0,1,1
"11504","PLB1",2,"goschNineHrMain goschTwelveHrMain",0,"",0,0,2,0,0,0,0,1,0
"11505","REEP5",7,"meaburn2 goschFifteenHrMain goschNineHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser1BaseVSoneALL rusch",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",0,1,4,1,0,1,0,4,1
"11506","TYMP",10,"goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVStenALL obermoser1BaseVSthreeALL obermoser1BaseVStwentyEightALL obermoser3BaselineVSoneAll obermoser3BaselineVSzeroAll obermoser4BaselineVSfifteenAll obermoser4BaselineVStwentyFourAll",1,"goschNineHrMain",0,0,2,8,0,0,0,2,1
"11507","TMEM59",12,"meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser1BaseVSsevenALL obermoser1BaseVStenALL obermoser1BaseVSzeroALL obermoser3BaselineVSsevenAll rusch",4,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser1BaseVSsevenALL",0,1,6,4,0,1,0,4,2
"11508","POMK",5,"goschNineHrMain obermoser3BaselineVSpoint5All obermoser4BaselineVSfifteenAll obermoser4BaselineVSone obermoser4BaselineVSthreeAll",0,"",0,0,1,4,0,0,0,2,0
"11509","ZNF689",7,"goschSixHrMain goschTwelveHrMain obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL obermoser2BaselineVSsevenAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll",2,"goschSixHrMain goschTwelveHrMain",0,0,2,5,0,0,0,2,1
"11510","PAK2",17,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSthreeALL obermoser1BaseVStwentyEightALL obermoser2BaselineVSsevenAll obermoser3BaselineVSpoint5All obermoser3BaselineVSthreeAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll",4,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser4BaselineVSthirtySixAll",0,0,5,12,0,0,0,2,2
"11511","ZSWIM6",8,"goschNineHrMain goschTwelveHrMain obermoser2BaselineVSsevenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVStwelveAll rusch",2,"goschNineHrMain goschTwelveHrMain",0,0,2,5,0,1,0,3,1
"11512","FRG1HP",3,"meaburn1 meaburn2 rusch",0,"",0,2,0,0,0,1,0,2,0
"11513","GABPB1",5,"meaburn1 meaburn2 goschNineHrMain obermoser1BaseVSsevenALL rusch",1,"obermoser1BaseVSsevenALL",0,2,1,1,0,1,0,4,1
"11514","DPYSL2",1,"obermoser4BaselineVSthirtySixAll",0,"",0,0,0,1,0,0,0,1,0
"11515","AES",5,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",0,0,5,0,0,0,0,1,1
"11516","CLASP1",6,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser4BaselineVStwelveAll",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",0,0,5,1,0,0,0,2,1
"11517","CFDP1",7,"obermoser2BaselineVSsevenAll obermoser3BaselineVSpoint5All obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll rusch",2,"obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll",0,0,0,6,0,1,0,2,1
"11518","MPRIP",9,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser2BaselineVSzeroAll obermoser3BaselineVSoneAll rusch",2,"goschNineHrMain goschTwelveHrMain",0,0,4,4,0,1,0,3,1
"11519","GPATCH11",7,"meaburn2 goschSixHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVSzeroAll rusch",0,"",0,1,1,4,0,1,0,4,0
"11520","ZNF438",9,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser1BaseVSoneALL obermoser3BaselineVSpoint5All obermoser4BaselineVStwelveAll",4,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL",0,0,6,3,0,0,0,2,2
"11521","EPM2AIP1",8,"goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser1BaseVSthreeALL obermoser2BaselineVSsevenAll obermoser4BaselineVSfortyEightAll rusch",1,"goschNineHrMain",0,0,2,5,0,1,0,3,1
"11522","GS1-124K5-11",0,"",0,"",0,0,0,0,0,0,0,0,0
"11523","ZNF292",6,"meaburn2 goschSixHrMain obermoser4BaselineVSfortyEightAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwentyFourAll rusch",0,"",0,1,1,3,0,1,0,4,0
"11524","SIPA1L1",8,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser3BaselineVSzeroAll obermoser4BaselineVSnineAll rusch",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",0,0,5,2,0,1,0,3,1
"11525","YDJC",9,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll rusch",5,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",0,0,6,2,0,1,0,3,1
"11526","PTP4A2",3,"goschNineHrMain obermoser1BaseVSoneALL rusch",0,"",0,0,1,1,0,1,0,3,0
"11527","USP20",7,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser1BaseVSoneALL",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",0,0,6,1,0,0,0,2,1
"11528","ZMAT2",4,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll",2,"goschNineHrMain goschTwelveHrMain",0,0,3,1,0,0,0,2,1
"11529","ZUFSP",2,"goschSixHrMain goschTwelveHrMain",1,"goschSixHrMain",0,0,2,0,0,0,0,1,1
"11530","FAM3C",12,"meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser3BaselineVSsevenAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthreeAll rusch",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",0,1,5,5,0,1,0,4,1
"11531","IGHMBP2",1,"obermoser4BaselineVSfifteenAll",1,"obermoser4BaselineVSfifteenAll",0,0,0,1,0,0,0,1,1
