"","Symbol","P_counts","P_study_names","AdjP_counts","AdjP_study_names","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","karlovich","P_value_study_count","AdjP_value_study_count"
"445","AC009299",6,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",1,0,5,0,0,0,0,0,2,1
"446","IGHV1-3",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"447","MFSD4B",2,"gomez karlovich2",0,"",1,0,0,0,0,0,0,1,2,1
"448","ADAM22",4,"gomez goschEighteenHrMain goschFifteenHrMain goschTwentyoneHrMain",0,"",1,0,3,0,0,0,0,0,2,0
"449","RP11-731F5",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"450","RPS2P7",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"451","AOC2",10,"gomez meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser2BaselineVSsevenAll obermoser3BaselineVSoneAll obermoser3BaselineVSpoint5All obermoser4BaselineVSfortyEightAll",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",1,1,4,4,0,0,0,0,4,1
"452","ZNF551",15,"gomez meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll karlovich2",7,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll karlovich2",1,1,5,7,0,0,0,1,5,3
"453","FBXL16",8,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser3BaselineVStenAll obermoser4BaselineVSthirtySixAll",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",1,0,5,2,0,0,0,0,3,1
"454","RASGRP4",22,"gomez meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser2BaselineVSsevenAll obermoser3BaselineVSsevenAll obermoser3BaselineVSzeroAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll",6,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser4BaselineVStwelveAll",1,1,5,15,0,0,0,0,4,2
