"","Symbol","Score","Filters","gomez","gosch","meaburn1","meaburn2","obermoser1","obermoser2","obermoser3","obermoser4","dusek","rusch","larocca","karlovich1","karlovich2","Studies"
"15775","FLJ44511",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15776","FLJ45079",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15777","FLJ45513",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15778","FLJ45825",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15779","FLJ46552",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15780","FLJ46906",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15781","FN3K",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15782","FOXC1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15783","FOXD2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15784","FOXD2-AS1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15785","FOXD4L1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15786","FOXJ1",2,"meaburn1.rs meaburn2.rs",0,0,1,1,0,0,0,0,0,0,0,0,0,1
"15787","FRG1B",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15788","FRMD6",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15789","FRMD6-AS1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15790","FRMPD3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15791","FSCN2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15792","FSCN3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15793","FSIP1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15794","FSIP2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15795","FST",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15796","FTCD",2,"meaburn1.rs meaburn2.rs",0,0,1,1,0,0,0,0,0,0,0,0,0,1
"15797","FTH1P3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15798","FTO-IT1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15799","FTSJ2",1,"larocca.rs",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"15800","FUNDC2P2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15801","FUT8-AS1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15802","FXYD1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15803","FZD7",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15804","FZD8",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15805","GALNT4",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15806","GALNT5",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15807","GAREML",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15808","GAS1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15809","GAS2L3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15810","GAS5-AS1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15811","GATA6",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15812","GATSL3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15813","GCHFR",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15814","GCM1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15815","GCN1L1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15816","GCSH",1,"meaburn2.rs",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"15817","GCSHP3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15818","GDF10",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15819","GDF9",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15820","GET4",1,"gosch.rs",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"15821","GFPT2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15822","GGT1",2,"meaburn2.rs rusch.rs",0,0,0,1,0,0,0,0,0,1,0,0,0,2
"15823","GGT8P",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15824","GINS4",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15825","GIPC2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15826","GIPC3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15827","GJA3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15828","GJB6",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15829","GJC2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15830","GLB1L2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15831","GLDC",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15832","GLI3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15833","GLIS2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15834","GLP1R",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15835","GLS2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15836","GLTPD1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15837","GLUD2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15838","GNAS-AS1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15839","GNB2L1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15840","GNB3",1,"meaburn1.rs",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"15841","GNG10",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15842","GNG8",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15843","GNN",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15844","GNRH2",1,"meaburn1.rs",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"15845","GNRHR2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15846","GOLGA6L10",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15847","GOLGA6L5P",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15848","GOLGA8K",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15849","GOLGA8M",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15850","GOLGA8O",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15851","GOLGA8R",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15852","GPATCH4",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15853","GPC1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15854","GPC3",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15855","GPC4",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15856","GPD1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15857","GPNMB",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15858","GPR1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15859","GPR113",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15860","GPR114",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15861","GPR124",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15862","GPR125",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15863","GPR126",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15864","GPR128",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15865","GPR133",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15866","GPR135",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15867","GPR137C",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15868","GPR161",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15869","GPR173",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15870","GPR21",1,"meaburn2.rs",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"15871","GPR52",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15872","GPR56",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15873","GPR63",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15874","GPR75",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15875","GPR97",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15876","GPRC5D",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15877","GPRIN1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15878","GPT",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15879","GREB1",1,"meaburn2.rs",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"15880","GRID1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15881","GRID2IP",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15882","GRIK1-AS2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15883","GRIK4",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15884","GRIK5",2,"meaburn1.rs meaburn2.rs",0,0,1,1,0,0,0,0,0,0,0,0,0,1
"15885","GRIN2D",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15886","GRIN3B",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15887","GRK5-IT1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15888","GRM2",1,"karlovich1.rs",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"15889","GRPR",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15890","GS1-251I9",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15891","GS1-259H13",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15892","GSDMA",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15893","GSG2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15894","GTF2H4",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15895","GTF2IRD1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15896","GUCA1B",1,"meaburn2.rs",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"15897","GUCY1B2",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15898","GUCY2D",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15899","GUSBP4",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15900","GUSBP5",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15901","GUSBP9",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15902","GYLTL1B",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15903","H1FX-AS1",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15904","H3F3C",1,"larocca.rs",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"15905","HAR1B",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15906","HAUS7",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15907","HCCAT4",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15908","HCG14",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15909","HCG17",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15910","HCG26",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15911","HCG4",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
