"","Symbol","Within Variation (SD)","Total Variation (SD)","Rs","subject","time","repeatability","gen.variance","Average Expression","OVERALL_RP","OVERALL_RANK"
"1153","AP1S1","7775.25175380942","6012.99882422771","11512.4865801199","5344.11858909329","7681.6861179584","5738.52491859515","5627.67235418003","6860.30181937152",6858.39442091066,11766
"13810","MTG1","6038.50185478361","4465.68824350993","12676.3281855935","6770.05666567059","13175.1255124619","4638.48979066548","4526.9805069174","7646.53299126905",6858.45024813911,11767
"3396","CFAP57","9162","5227","18819","5869","20738","8444","8045.99999999999","657",6858.56077705211,11768
"3974","COX7A2P2","4733.54275745459","6247.47442356061","8085.15176523496","6238.30542889134","11127.50842767","4573.52770968826","4383.52796043597","14715.9681066154",6858.6467187995,11769
"14535","NPIPA5","12700.064999812","14501.0675152734","1001.58511275664","13998.9323566786","7348.29143101455","12396.5239165422","14443.2409753706","1441.45613700255",6858.71306783131,11770
"10875","LOC101929072","6684","7372","5018","6135","8059.49999999999","7796","7949","6464",6858.75193659352,11771
"15226","PAXIP1","8145.87168416574","6603.60120072998","10585.2021453659","5364.56415635648","7820.93663369585","4718.24737328152","5540.90142708495","7842.59257105835",6858.89167972971,11772
"17321","RNASEH2B","4202.82885075883","5239.3262852647","7500.6034854244","7500.56217456386","7528.20122910697","8265.75106379694","7325.88625677114","8674.78856062338",6859.0263765685,11773
"12459","MED12","5303.02567991876","4637.86396146047","9892.28193194548","6223.26892684849","9892.12274168376","5761.62538964285","5285.28461805933","10749.3932773162",6859.70523865512,11774
"22879","UBE2E1","4168.86525205195","4551.1121740619","8840.20403800447","6939.84514881954","9246.0789081552","5628.60772538177","5814.21409835073","13933.5216400432",6860.52332345254,11775
"13038","MIR3916","10667.0286396916","9893.60247836953","8864.22754671833","5306.70764222036","5259.68000452498","6597.2900497098","12138.353801072","2348.2282682908",6860.97951366643,11776
"10763","LOC101928448","15569","15818","5015","5433","8059.49999999999","7598","13658","875",6861.05159633138,11777
"3439","CH507-9B2.3","12275","13186","4917","10884","5771","11615","13962","606",6861.42360833413,11778
"20084","SLIT1","11189.544419875","12455.848887761","3493.7714820696","13210.4535601692","7342.47781630352","11904.6235011433","14233.6183221506","613.897024962939",6861.52877613146,11779
"18904","RPS2P46","5143","5107","6406","11187","5771","8764.99999999999","7303","7067",6861.63784903835,11780
"14983","OSBPL1A","6962.95765442828","6121.32483933792","8903.02185707412","6961.58721971165","10148.2347173837","6127.02579898764","5906.51032783347","5065.36153545613",6861.725094424,11781
"15458","PEPD","3888.29376545657","3866.59785378068","9042.10598212917","8053.39897732042","8216.57934758857","7210.8132945666","5650.15397978437","13410.5830093675",6861.83097724321,11782
"12453","MECOM","16277","15621","14168","3084","8059.49999999999","11642","16038","294",6861.86893310228,11783
"1478","ASMTL-AS1","8017.44200163978","8782.06633609131","5746.70493566699","9714.38482571669","7641.85472323567","10106.8981437189","11168.5237926635","1449.71621027211",6861.91402275355,11784
"17500","RP1-244F24.1","10648","9698.99999999999","9038.00000000001","4424","5771","6739","10390","2946",6861.94384596864,11785
"5240","DUSP8P5","10951","11857","4605","4252","5771","7348","10851","4202",6861.98383023847,11786
"15110","PAGE1","4062.99803101109","8280.03194438284","3000.62760101949","17149.273570621","7495.45645708117","16594.07725666","14144.9263695503","1614.12917698677",6862.04130783434,11787
"6129","FAM66D","14921.8709282717","15060.943728731","6839.39719565986","11998.2682083707","6819.92481630113","5062.84751893636","5808.85530892275","1329.14333312852",6862.08484409288,11788
"5539","EMB","6555.43642161057","4584.89020938777","13067.6479708309","4406.12391045083","8594.12458001381","4888.35184645258","5037.64161583192","13424.0854143712",6862.1087275846,11789
"18680","RP5-855D21.3","12494","11642","10130","6813","5771","5614","11093","1365",6863.53353116069,11790
"3326","CEP162","10224.5377705355","6814.14144787073","14290.5683206281","4066.50522887137","11109.9007532083","4310.78971022635","4648.21984113536","5464.27844135762",6863.59296237549,11791
"11237","LOC102724423","10944","10295","7364","5991.99999999999","8059.49999999999","4619","4833","5509",6864.03052437647,11792
"2719","CASP1P2","10512.0167427568","9275.55777298595","12109.7414505843","5007.33462033446","9324.47778698626","4348.99712577509","7623.02157940013","2696.51997952917",6864.18530829184,11793
"18711","RP5.914P20.5","14745","13075","15714","1210","8059.49999999999","7824.00000000001","12940","1648",6864.3335317873,11794
"11259","LOC102724536","15755","14942","13971","3379","8059.49999999999","6849.00000000001","13285","605",6864.54692129196,11795
"19222","SCFD2","4238.70080509693","5248.43401697017","6989.64411770921","8450.60401499994","8991.24222715126","7493.211417518","5753.06632583164","9689.23655406287",6865.31143143715,11796
"6066","FAM222B","4686.13805889179","3023.02022937931","9538.23770647003","6819.14371392558","9209.3006652537","7659.57476469666","6152.29295052862","12346.6409458251",6865.68551937283,11797
"4258","CTC-529I10.2","14389","13261","12851","5512","5771","3760","11157","1509",6865.79886498363,11798
"20950","STK25","3053.87639663943","2481.66741067566","10127.7855876046","10137.8672888028","8475.5776973749","9189.44636121753","6698.84477841612","12164.0960499658",6865.92915865936,11799
"4935","DLGAP3","12106.3995473468","10728.7550069894","11529.4895810699","2084.91306773208","7944.42851940905","5704.06171074612","9078.3420292474","3845.79770658832",6866.14194176105,11800
"19474","SERPINI1","11717.0583255191","9895.34150622372","10229.9766592669","4835.55820458601","7876.48394993842","4484.4397624603","5128.04825663992","4755.39517535465",6866.2362529337,11801
"24434","ZNF793","8605.49317609551","11471.8938544239","5243.80836981576","6594.97856603224","6235.38569410013","7397.46221131071","7845.86016247461","3998.51314422436",6866.24873132685,11802
"16569","PTGER4P2-CDK2AP2P2","6995.48697375673","4366.72234061201","17434.831860388","5793.16839044059","11068.1675312583","6070.98344586773","5615.54271642555","4244.03887823852",6866.3614850198,11803
"18887","RPS23","2406.91393469505","2828.61719861531","5831.29509248379","8811.19888261735","9958.21468216598","10446.4981981199","7605.3658361589","17857.1651744764",6866.57156530757,11804
"24036","ZNF26","7860.57318361682","6238.85627854485","12308.8445851822","6363.98173438585","9324.62911673518","4788.26452950576","5221.79379006981","5519.42880914886",6866.7877008999,11805
"846","ALKAL2","7583.20212041601","10607.9194573654","4016.52944514551","15683.3260189818","7429.63780918063","15948.7076570405","15071.0397122844","546.601351864267",6867.28194595722,11806
"22770","TUBG1","7058.50533165846","6543.27895984755","8666.6227497147","6343.41287174545","7627.76622813892","6257.70819512801","5637.33216237803","7241.14322949067",6867.47065710516,11807
"9367","KY","12181.5723877049","10369.2353427151","9486.08429373846","4589.01198069439","7662.78731467429","5056.42074344446","5739.80559085545","4045.73936578634",6867.48412406549,11808
"8949","KCNQ1","5630.52404747015","5474.25172730964","8491.09667780438","5753.57507228453","8690.02936395578","6878.02605287032","6204.40365897688","8859.9917166645",6867.50835800223,11809
"5541","EMC1","6319.08050751183","5243.20799450631","11044.3953613831","7097.01382397342","8348.91191205589","5613.40336683762","5054.13983347945","8043.49941934971",6867.55464194931,11810
"180","AC007036.4","12368","11337","10602","5365","5771","6355","11431","1480",6867.65491779966,11811
"22202","TP73.AS1","5432.10677361923","4799.43809211037","7678.76474441039","5819.86254133206","8045.23737996586","8093.77853662922","7097.33294977768","9192.61600416334",6867.89121451655,11812
"14380","NIPA1","6924.23308581344","6069.61828941027","9904.81538069873","6048.0951979188","9647.69971113775","6618.36528124423","6527.98572720561","4716.80988080072",6867.91667632956,11813
