"","Symbol","Score","Filters","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","karlovich","Study_counts"
"63","MCUB",5,"obermoser2.vp obermoser4.vp karlovich1.vp obermoser1.rp karlovich2.rp",0,0,0,3,0,0,0,2,2
"64","POLR2J",9,"meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp obermoser1.rp obermoser2.rp obermoser4.rp larocca.rp",0,1,0,6,1,0,1,0,4
"65","DHX33",3,"obermoser3.vp obermoser3.rp karlovich2.rp",0,0,0,2,0,0,0,1,2
"66","MEOX1",5,"larocca.vp meaburn2.rp obermoser3.rp larocca.rp karlovich1.rp",0,1,0,1,0,0,2,1,4
"67","LIG3",1,"meaburn1.vp",0,1,0,0,0,0,0,0,1
"68","RPAP3",5,"meaburn2.sd obermoser2.vp dusek.vp meaburn2.rp dusek.rp",0,2,0,1,2,0,0,0,3
"69","ACSM3",0,"",0,0,0,0,0,0,0,0,0
"70","AC004381",0,"",0,0,0,0,0,0,0,0,0
"71","CIAPIN1",5,"meaburn1.vp meaburn2.vp dusek.vp karlovich1.vp karlovich2.vp",0,2,0,0,1,0,0,2,3
"72","SPPL2B",0,"",0,0,0,0,0,0,0,0,0
"73","FAM214B",2,"gosch.vp gosch.rp",0,0,2,0,0,0,0,0,1
"74","COPZ2",2,"larocca.vp larocca.rp",0,0,0,0,0,0,2,0,1
"75","PRKAR2B",8,"larocca.vp karlovich2.vp gomez.rp gosch.rp rusch.rp larocca.rp karlovich1.rp karlovich2.rp",1,0,1,0,0,1,2,3,5
"76","MSL3",3,"obermoser2.vp obermoser4.vp obermoser4.rp",0,0,0,3,0,0,0,0,1
"77","CREBBP",5,"obermoser1.vp obermoser4.vp meaburn2.rp obermoser4.rp karlovich1.rp",0,1,0,3,0,0,0,1,3
"78","TSPOAP1",4,"obermoser1.vp gomez.rp obermoser1.rp obermoser4.rp",1,0,0,3,0,0,0,0,2
"79","MPO",6,"gomez.vp obermoser1.vp gomez.rp gosch.rp obermoser1.rp larocca.rp",2,0,1,2,0,0,1,0,4
"80","GCFC2",2,"meaburn2.vp rusch.rp",0,1,0,0,0,1,0,0,2
"81","WDR54",8,"obermoser1.vp obermoser2.vp obermoser4.vp rusch.vp larocca.vp karlovich2.vp obermoser1.rp larocca.rp",0,0,0,4,0,1,2,1,4
"82","CROT",0,"",0,0,0,0,0,0,0,0,0
"83","ABCB4",4,"gosch.vp meaburn2.vp meaburn2.rp larocca.rp",0,2,1,0,0,0,1,0,3
