"","Symbol","Within Variation (SD)","Total Variation (SD)","Rs","subject","time","repeatability","gen.variance","Average Expression","OVERALL_RP","OVERALL_RANK"
"61","ABCC1",24.07,22.89,49.49,45.36,59.01,30.76,25.88,64.98,37.88,37.88
"10064","LINC02363",51.2,74.1,19.62,27.41,94.19,28.35,25.01,38.57,37.88,37.88
"5424","EIF1",1.86,13.45,11.24,85.28,20.56,87.42,55.51,99.32,37.89,37.89
"16638","PTPRG",48.76,51.51,66.86,17.51,61.66,33.85,38.83,34.29,37.89,37.89
"9117","KIF1C",49.22,43.29,61.35,23.9,83.09,20.05,18.58,57.14,37.89,37.89
"14398","NKAPL",92.95,79.75,80.65,20.65,83.51,20.56,23.61,17.53,37.9,37.9
"7765","HERVL40.int.ERVL.LTR",15.7,31.13,6.64,94.66,1.82,93.14,73.19,54.87,37.9,37.9
"8138","HSD17B13",82.73,76.04,68.52,38.2,27.42,18.94,31.01,17.9,37.91,37.91
"5245","DVL1",35.99,24.82,81.6,33.07,15.99,26.24,23.16,64.97,37.91,37.91
"2207","C15orf52",52.95,52.45,30.41,23.98,88.09,31.12,29.91,40.09,37.91,37.91
"685","AGER",56.26,37.89,86.66,19.5,60.24,23.24,25.78,44.52,37.92,37.92
"7377","GSTK1",1.39,7.09,20.18,77.18,79.95,84.1,54.45,98.32,37.92,37.92
"15909","PMPCB",7.67,9.93,37.73,63.67,60.75,69.61,47.86,64.49,37.93,37.93
"23997","ZNF211",11.71,8.03,64.59,44.23,79.29,46.88,32.55,78.48,37.93,37.93
"23681","YTHDF2",7.18,8.94,44.56,59.75,72.4,41.27,33.88,93.5,37.93,37.93
"2072","BTBD6",1.89,12.7,14.39,82.45,51.55,86.63,56.52,89.63,37.94,37.94
"11512","LOC554206",68.02,63.98,52.72,66.26,4.8,25.06,29.37,22.44,37.94,37.94
"2118","C10orf128",13.4,61.53,0.98,96.5,6.28,97.37,89.61,77.45,37.95,37.95
"7880","HIST1H4J",91.33,84.56,66.64,30.19,51.35,23.31,36.21,12.09,37.95,37.95
"21256","TAS2R20",81.8,77.84,57.69,65.17,4.8,18.32,30.92,19.36,37.95,37.95
"10292","LOC100288637",57.19,58.59,28.29,51.17,83.71,20.57,25.38,33.63,37.96,37.96
"16790","RAB37",24.94,23.53,45.1,29.01,54.6,36.81,25.54,77.16,37.96,37.96
"3995","CPLANE2",47.88,26.54,94.93,24.21,91.37,30.85,28.01,30.93,37.97,37.97
"19544","SGK2",97.32,93.01,87.66,12.9,43.69,57.22,90.56,3.02,37.97,37.97
"14640","NSUN5",24.81,13.93,65.54,25.41,60.54,34.97,27.84,82.67,37.97,37.97
"6823","GBA2",5.69,6.98,35.62,69.95,56.97,68.25,41.13,84.4,37.98,37.98
"4410","CTRB2",33.22,25.29,89.64,47.91,28.19,60.38,52.01,16.31,37.98,37.98
"22525","TRMT12",23.71,22.54,48.1,39.88,60.67,40.33,37.31,53.91,37.99,37.99
"21092","SV2B",69.56,59.5,77.96,39.45,22.42,47.3,49.29,7.97,37.99,37.99
"7089","GNPAT",6.02,4.04,46.66,66.18,67.25,64.91,44.12,89.36,38,38
"23796","ZCCHC17",8.02,9.89,35.85,66.23,48.94,57.46,36.88,82.37,38,38
"4948","DMAP1",11.56,5.05,80.47,41.59,75.93,45.18,30.29,88.57,38,38
"1067","ANKS6",39.7,19.66,51.37,42.11,29.9,32.75,27.13,59.13,38.01,38.01
"15721","PJVK",79.92,53.71,98.79,26.09,50.3,23.53,21.18,19.7,38.01,38.01
"15946","PNPO",6.76,9.59,37.62,59.52,60.2,63.8,43.82,78.11,38.02,38.02
"3180","CDHR2",50.77,37.49,71.09,25.13,87.26,27.3,30.18,33.68,38.02,38.02
"4992","DNAJB12",18.9,14.34,54.38,44.81,83.02,42.73,29.57,61.45,38.02,38.02
"17776","RP11-269F20.1",72.8,67.29,61.66,20.81,10.95,33.73,65.6,18.47,38.03,38.03
"770","AKAP6",87.17,91.92,12.78,63.56,6.28,48.76,82.67,8.04,38.03,38.03
"3526","CHKB",7.32,20.54,23.63,48.38,17.13,65.76,47.81,84.47,38.04,38.04
"16615","PTPN1",3.32,9.45,23.18,66.7,69.23,75.39,48.47,90.54,38.04,38.04
"15472","PEX11G",64.66,49.38,75.8,24.85,67.98,31.26,46.03,17.46,38.04,38.04
"14370","NIFK-AS1",45.75,32.1,75.58,25.52,88.49,24.88,21.42,47.27,38.05,38.05
"16697","PXDC1",73.33,44.56,71.09,21.33,87.89,27.83,38.77,21.29,38.05,38.05
"23457","WDR91",24.28,15.32,77.49,28.4,83.31,37.46,28.84,59.9,38.06,38.06
"17063","RCSD1",6.47,6.92,29.84,51.02,79.42,62.23,40.26,97.36,38.06,38.06
"3515","Cheshire.hAT.Charlie.DNA",14.14,14.59,52.59,57.46,29.52,50.69,31.33,66.28,38.06,38.06
"5056","DNMBP",34.32,24.8,30.98,37.97,57.51,36.68,29.87,63.45,38.07,38.07
"19564","SGTA",18.04,23,38.23,45.1,51.13,36.51,31.51,71.86,38.07,38.07
"15731","PKHD1L1",64.22,65.95,15.99,59.35,66.12,57.38,61.22,9.91,38.08,38.08
"6180","FAM96B",32.61,21.46,35.39,31.56,49.92,34.3,31.73,73.51,38.08,38.08
"18485","RP11.379B18.5",95.19,85.89,94.86,4.45,43.69,36.29,74.57,13.8,38.08,38.08
"17625","RP11-140K17.3",81.19,60.21,91.84,15.45,92.3,13.13,29.48,32.29,38.09,38.09
"15411","PDP2",46.56,27.37,76.63,34.73,69.85,25.41,25.24,43.1,38.09,38.09
"20796","SRRM1",40.96,18.43,85.89,21.08,82.79,18.68,21.34,78.35,38.1,38.1
"10263","LOC100134368",80.18,72.96,61.19,25.96,4.8,20.07,30.73,37.58,38.1,38.1
"19919","SLC35F2",48.03,31.21,74.79,29.36,85.58,23.22,23.76,43.67,38.11,38.11
"14840","OLMALINC",57.3,48.78,40.44,53.13,20.9,34.53,39.72,22.82,38.11,38.11
"5119","DPP3",45.54,47.72,68.55,23.81,78.02,17.65,16.65,63.44,38.11,38.11
"2007","BPIFA3",50.88,42.93,65.92,24.83,89.08,33.16,33.27,27.01,38.12,38.12
"15032","OVOS",92.49,97.2,1.16,97.46,43.69,98.33,97.63,7.6,38.12,38.12
"4707","DDX11L8",83.07,93.21,2.6,93.78,10.95,93.89,94.74,7.37,38.13,38.13
"15689","PINK1.AS",26.01,45.89,6.98,83.04,34.88,36.11,30.02,72.52,38.13,38.13
"8042","HNRNPUL2",12.22,9.35,62.6,42.23,49.41,36.41,35.1,91.68,38.13,38.13
"2181","C12orf76",11.7,15.26,38.55,53.22,66.94,49.39,32.92,73.32,38.14,38.14
"14451","NMT1",12.04,8.04,53.72,45,32.4,52.82,42.38,82.82,38.14,38.14
"22120","TNR",99.56,94.85,68.87,47.4,34.99,20.66,28.09,7.7,38.15,38.15
"10001","LINC01513",77.61,68.6,75.55,29.72,10.95,15.4,53.4,25,38.15,38.15
"966","ANAPC11",23.94,16.38,62.53,42.52,32.96,34.06,27.45,69.89,38.15,38.15
"1581","ATP5B",2.16,14,12.32,84.63,60.32,81.57,51.77,93.47,38.16,38.16
"14276","NELFE",8.41,6.84,46.61,43.48,78.48,60.8,39.1,87.43,38.16,38.16
"12885","MIGA1",52.18,43.89,76.63,33.49,75.59,25.23,29.71,26.89,38.17,38.17
"9089","KIAA1656",40.5,45.51,26.43,30.08,4.8,66.33,68.94,32.79,38.17,38.17
"23253","VIM-AS1",9.59,27.22,10.48,65.78,10.95,80.41,49.46,81.32,38.17,38.17
"5993","FAM173B",30.14,27.17,41.68,46.24,34.7,40.14,37.7,47.62,38.18,38.18
"17925","RP11-362F19.1",26.07,84.6,0.71,96.84,10.95,96.67,92.2,59.1,38.18,38.18
"5059","DNMT3A",17.66,24.24,40.09,51.37,32.42,56.29,40.77,50.01,38.19,38.19
"8657","IPO9",11.94,11.65,51.65,46.82,87,40.56,27.54,80.35,38.19,38.19
"13654","MRPS16",4.64,6.32,28.31,74.92,34.68,75.74,51.8,86.51,38.19,38.19
"3074","CD37",8.37,21.51,15.53,60.16,36.35,46.83,38.41,96.93,38.2,38.2
"20156","SMG7",10.87,19.48,20.25,56.93,51.19,58.31,44.41,74.05,38.2,38.2
"22047","TMUB1",7.67,5.86,54.89,48.03,73.57,56.6,42.33,87.2,38.21,38.21
"18108","RP11-493E12.2",92.73,88.6,72.81,53.54,10.95,42.88,87.72,2.3,38.21,38.21
"2049","BRPF3-AS1",44.84,24.67,96.9,10.65,30.66,73.62,62.86,30.65,38.22,38.22
"20213","SNAI3.AS1",37.61,24.38,81.19,19.12,66.72,34.92,35.92,51.18,38.22,38.22
"14592","NRD1",19.1,12.1,69.21,32.62,37.46,34.94,24.44,91.96,38.22,38.22
"15085","PABPC1P1",91.11,85.3,79.42,45.79,10.95,34.73,84.1,3.17,38.23,38.23
"12797","MFSD10",7.77,12.24,31.87,48.91,54.2,60.38,43.45,85.29,38.23,38.23
"18920","RPS6KA2.IT1",96.39,90.77,87.42,4.39,43.69,61.28,89.5,7.33,38.24,38.24
"4357","CTD-2600H12.2",58.96,48.34,66.83,26.32,10.95,19.98,41.66,45.45,38.24,38.24
"9327","KRT75",45.7,35.68,89.1,45.41,28.19,53.21,50.28,11.98,38.24,38.24
