"X","Symbol","P.Score","P.Studies","AdjP.Score","AdjP.Studies","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","P.value.Studies","Adjusted.P.value.Studies"
6393,"TTC21A",7,"meaburn2 obermoser2SalineBaseVSseven obermoser3SalineBaseVSone obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSzero rusch",0,"",0,1,0,5,0,1,0,3,0
6394,"SLFN12",12,"gosch6 gosch9 gosch12 gosch15 obermoser1PneumBaseVSfourteen obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser1PneumBaseVSthree obermoser1PneumBaseVStwentyEight obermoser1PneumBaseVStwentyOne obermoser1PneumBaseVSzero obermoser3PNEUMBaseVSten",4,"gosch9 gosch12 obermoser1PneumBaseVSseven obermoser1PneumBaseVSzero",0,0,4,8,0,0,0,2,2
6395,"VPS54",23,"meaburn2 obermoser1PneumBaseVSseven obermoser1SalineBaseVSseven obermoser2PNEUMBaseVSZero obermoser3FLUBaseVSone obermoser3FLUBaseVSseven obermoser3PNEUMBaseVSone obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSsix obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVSzero obermoser4PNEUMBaselineVSfortyEight obermoser4PNEUMBaselineVSone.5 obermoser4PNEUMBaselineVSsix obermoser4PNEUMBaselineVStwelve obermoser4PNEUMBaselineVSzero obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwelve obermoser4SalineBaselineVSzero rusch",1,"obermoser4FLUBaselineVSfifteen",0,1,0,21,0,1,0,3,1
6396,"LETM2",9,"gosch9 gosch12 gosch15 gosch21 obermoser1FluBaseVSten obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser3PNEUMBaseVSpoint5 obermoser3SalineBaseVSpoint5",2,"gosch9 gosch12",0,0,4,5,0,0,0,2,1
6397,"TMBIM1",13,"gosch6 gosch9 gosch12 gosch15 obermoser1PneumBaseVSzero obermoser3PNEUMBaseVSseven obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSsix obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVStwentyFour obermoser4FLUBaselineVSzero",5,"gosch9 gosch12 gosch15 obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSthirtySix",0,0,4,9,0,0,0,2,2
6400,"ST3GAL2",10,"meaburn2 gosch6 gosch9 gosch12 obermoser1FluBaseVSone obermoser1PneumBaseVSfourteen obermoser4FLUBaselineVSone.5 obermoser4PNEUMBaselineVSfortyEight obermoser4PNEUMBaselineVStwentyFour obermoser4PNEUMBaselineVSzero",3,"gosch6 gosch9 gosch12",0,1,3,6,0,0,0,3,1
6401,"PRDX1",11,"gosch6 gosch9 gosch12 obermoser1FluBaseVSzero obermoser1PneumBaseVSone obermoser1SalineBaseVStwentyOne obermoser2PNEUMBaseVSseven obermoser3PNEUMBaseVSseven obermoser4FLUBaselineVSthirtySix obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSthree",2,"gosch6 gosch9",0,0,3,8,0,0,0,2,1
6403,"DDX46",3,"obermoser1PneumBaseVSseven obermoser1SalineBaseVSfourteen rusch",0,"",0,0,0,2,0,1,0,2,0
6407,"TCF7",17,"gosch6 gosch9 gosch12 gosch15 gosch18 obermoser1PneumBaseVSfourteen obermoser1PneumBaseVSone obermoser1PneumBaseVSthree obermoser1PneumBaseVStwentyOne obermoser1PneumBaseVSzero obermoser2PNEUMBaseVSseven obermoser2SalineBaseVSZero obermoser3SalineBaseVSten obermoser3SalineBaseVSthree obermoser3SalineBaseVStwentyEight obermoser4PNEUMBaselineVSfifteen obermoser4SalineBaselineVSone.5",4,"gosch6 gosch9 gosch12 gosch15",0,0,5,12,0,0,0,2,1
6408,"GLI1",6,"gosch6 obermoser1PneumBaseVSone obermoser1PneumBaseVSzero obermoser3PNEUMBaseVSseven obermoser3SalineBaseVStwentyEight obermoser4PNEUMBaselineVSnine",0,"",0,0,1,5,0,0,0,2,0
6411,"TEF",15,"gosch9 gosch12 gosch15 gosch18 gosch21 obermoser1FluBaseVSfourteen obermoser1FluBaseVSone obermoser1FluBaseVStwentyEight obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser3SalineBaseVSone obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVSzero rusch",5,"gosch9 gosch12 gosch15 gosch18 obermoser1PneumBaseVSseven",0,0,5,9,0,1,0,3,2
6412,"SYCP3",4,"meaburn2 gosch12 obermoser1FluBaseVStwentyEight obermoser3SalineBaseVStwentyEight",1,"gosch12",0,1,1,2,0,0,0,3,1
6417,"PTS",13,"meaburn2 obermoser1FluBaseVSfourteen obermoser1FluBaseVSseven obermoser1FluBaseVSthree obermoser1PneumBaseVSseven obermoser1SalineBaseVSseven obermoser1SalineBaseVStwentyEight obermoser3FLUBaseVSseven obermoser3FLUBaseVStwentyEight obermoser4FLUBaselineVSsix obermoser4FLUBaselineVSthree obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSzero",0,"",0,1,0,12,0,0,0,2,0
6418,"LTB",14,"gosch6 gosch9 gosch12 gosch15 gosch18 obermoser1PneumBaseVSone obermoser1PneumBaseVSten obermoser1PneumBaseVStwentyEight obermoser1PneumBaseVStwentyOne obermoser1SalineBaseVSseven obermoser3SalineBaseVSthree obermoser4FLUBaselineVStwelve obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSthree",4,"gosch6 gosch9 gosch12 gosch15",0,0,5,9,0,0,0,2,1
6419,"MAPKAPK5",14,"meaburn1 gosch9 gosch12 obermoser1PneumBaseVSseven obermoser2PNEUMBaseVSseven obermoser4FLUBaselineVSnine obermoser4PNEUMBaselineVSfifteen obermoser4PNEUMBaselineVSzero obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwentyFour obermoser4SalineBaselineVSzero rusch",1,"gosch12",0,1,2,10,0,1,0,4,1
6420,"DENND5B",15,"meaburn2 gosch6 gosch9 gosch12 obermoser1FluBaseVSseven obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser2FLUBaseVSseven obermoser2PNEUMBaseVSseven obermoser3FLUBaseVSseven obermoser3FLUBaseVSten obermoser3PNEUMBaseVSseven obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVSzero",6,"gosch6 gosch9 gosch12 obermoser1PneumBaseVSseven obermoser2PNEUMBaseVSseven obermoser3PNEUMBaseVSseven",0,1,3,11,0,0,0,3,2
6421,"ZEB1-AS1",12,"meaburn2 obermoser1PneumBaseVSseven obermoser3PNEUMBaseVSseven obermoser3PNEUMBaseVSzero obermoser4PNEUMBaselineVStwentyFour obermoser4PNEUMBaselineVSzero obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwelve rusch",0,"",0,1,0,10,0,1,0,3,0
6422,"AFAP1L2",6,"obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser2FLUBaseVSseven obermoser4FLUBaselineVSthree obermoser4PNEUMBaselineVSone.5 obermoser4SalineBaselineVStwelve",0,"",0,0,0,6,0,0,0,1,0
6426,"BCL9L",13,"gosch6 gosch9 gosch12 gosch15 gosch18 gosch21 obermoser3SalineBaseVSone obermoser4PNEUMBaselineVSfifteen obermoser4PNEUMBaselineVSthirtySix obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSnine obermoser4SalineBaselineVStwelve rusch",4,"gosch6 gosch9 gosch12 gosch15",0,0,6,6,0,1,0,3,1
6427,"TNNC2",17,"gosch9 gosch12 obermoser1SalineBaseVSfourteen obermoser1SalineBaseVStwentyOne obermoser3PNEUMBaseVSseven obermoser3SalineBaseVSthree obermoser4PNEUMBaselineVSsix obermoser4PNEUMBaselineVStwelve obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwelve obermoser4SalineBaselineVStwentyFour obermoser4SalineBaselineVSzero",3,"gosch9 obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVStwelve",0,0,2,15,0,0,0,2,2
6429,"SERPINE1",7,"meaburn2 gosch9 gosch12 obermoser3SalineBaseVSthree obermoser4PNEUMBaselineVSfortyEight obermoser4SalineBaselineVSthree obermoser4SalineBaselineVSzero",2,"gosch9 gosch12",0,1,2,4,0,0,0,3,1
