"","Within Variation (SD)","Total Variation (SD)","Rs","Average Expression","subject","response","time:response","time","Residuals","repeatability","gen.variance","res.variance","Symbol"
"MER4A1.ERV1.LTR",0.238264542880919,0.321090620263703,0.742047658337822,4.14653685480069,0,0.0390389036499029,0,5.4402903174705e-13,0.960961096349553,0,0,0.10575214025715,"MER4A1.ERV1.LTR"
"MER4B.ERV1.LTR",0.171464038699684,0.266188750884862,0.644144570834437,3.45767665494219,0.276349262149208,0,3.77091641217635e-12,0,0.723650737847021,0.255297598980979,0.0180346990508653,0.0526071680205479,"MER4B.ERV1.LTR"
"MER4B.int.ERV1.LTR",0.191154537527101,0.333755287614501,0.57273860406338,2.74066628981738,0.428822923705466,4.77099324226115e-12,0.00226025568022433,0,0.568916820609538,0.448466117843637,0.0518380948932334,0.0637516739447937,"MER4B.int.ERV1.LTR"
"MER4C.ERV1.LTR",0.318866581125898,0.487041233807996,0.654701407174086,3.00015799165924,0.157596443030689,4.13029190690461e-08,1.27888993929523e-08,0,0.842403502877492,0.152712694468164,0.0367400925340125,0.203843001503868,"MER4C.ERV1.LTR"
"MER4CL34.ERV1.LTR",0.335362020966405,0.431541933680184,0.777124990163627,3.05603646633113,0,0,0,0,1,0,0,0.208060880544647,"MER4CL34.ERV1.LTR"
"MER4D.ERV1.LTR",0.225877682324571,0.305478746441397,0.73942192363914,3.24401192992796,0.0169530757586673,0.0222696233594679,1.49763217782529e-10,1.05568672994839e-08,0.960777290175234,0.0167486975963926,0.00151602025711734,0.0889996898983915,"MER4D.ERV1.LTR"
"MER4D0.ERV1.LTR",0.221713526762506,0.356872979223592,0.621267340679204,2.83472151893674,0.134873101285139,1.23837635946663e-10,0,1.64089624730495e-07,0.865126734501399,0.147225124198295,0.0188701913142702,0.109302166610551,"MER4D0.ERV1.LTR"
"MER4D1.ERV1.LTR",0.317216373222014,0.360455471249035,0.880043163508685,3.90130931506325,0,0,0,0,1,0,0,0.161909510912135,"MER4D1.ERV1.LTR"
"MER4E.ERV1.LTR",0.232667117392322,0.309869129014681,0.75085607311756,2.45894271076148,0,0,0,0,1,0.0691203391763519,0.00663880491907127,0.0894082486425902,"MER4E.ERV1.LTR"
"MER4E1.ERV1.LTR",0.257415091043264,0.351789944618179,0.731729530594327,3.64035092658458,0.0642724843274892,4.34781360964947e-11,9.34639968624906e-11,2.14468233816295e-09,0.935727513390886,0.104881091529107,0.0131120825451621,0.11190647279208,"MER4E1.ERV1.LTR"
"MER50.ERV1.LTR",0.236719866042278,0.329795319114977,0.717778125770641,4.26411989547353,0.0382901624231859,0.00856429301447922,8.23885661980624e-09,0,0.953145536323478,0.0940756555437136,0.0101317542766195,0.0975661854088674,"MER50.ERV1.LTR"
"MER50.int.ERV1.LTR",0.413900951872479,0.485063724001415,0.853291910716604,1.64613535309491,0,0.00975241445746595,1.3575069744392e-09,0,0.990247584185027,0,0,0.288309307157931,"MER50.int.ERV1.LTR"
"MER50B.ERV1.LTR",0.602322029065929,0.688437414641464,0.874911816609527,2.25870453063333,3.20776228432104e-20,0,0,0,1,0,0,0.526514398854425,"MER50B.ERV1.LTR"
"MER50C.ERV1.LTR",0.628036220906711,0.881011177816734,0.712858402617626,-1.58871644857087,0.131773488899307,1.14165311302887e-09,8.05345523707221e-08,2.00605727898527e-07,0.86822622881876,0.156582054874984,0.12560912822798,0.676584509658985,"MER50C.ERV1.LTR"
"MER51.int.ERV1.LTR",0.359232079101065,0.427889257199565,0.839544515448119,1.66839567768191,0,0.0185985097635267,1.07719054031862e-16,0,0.981401490236473,0,0,0.221477366224295,"MER51.int.ERV1.LTR"
"MER51A.ERV1.LTR",0.210135844573255,0.280143062109517,0.750101905044165,3.44128000110548,0.145486415893287,8.17815223628938e-11,2.71474479185824e-10,0.0101231836460769,0.84439040010738,0.183447319075675,0.0144089268576074,0.0641363848439145,"MER51A.ERV1.LTR"
"MER51B.ERV1.LTR",0.289386245757995,0.351500460914103,0.823288382056241,2.02002840169045,0,0,0,0,1,0,0,0.136592687634622,"MER51B.ERV1.LTR"
"MER51C.ERV1.LTR",0.215672648135514,0.308654287567002,0.698751505561692,2.54941497104374,0.164679213805199,9.1660719587361e-10,0,1.89621152635133e-11,0.835320785259232,0.178733686681884,0.0175737476808537,0.0807498980017426,"MER51C.ERV1.LTR"
"MER51D.ERV1.LTR",0.181157900254624,0.346039158273444,0.523518497613126,3.75620491599377,0.544996916313596,0,0.0208722876370434,0,0.43413079604936,0.538915370712348,0.0658092459344902,0.0563050033724136,"MER51D.ERV1.LTR"
"MER51E.ERV1.LTR",0.4384777165245,0.644299913306934,0.680549085089844,1.89312702748821,0.054530738900102,0.19399184277466,0,9.0830169861052e-12,0.751477418316155,0.0599445172313897,0.0200170110762695,0.313908625508684,"MER51E.ERV1.LTR"
"MER52.int.ERV1.LTR",0.373339750908428,0.493171308547049,0.757018391861316,0.844535220087701,0.217806849459456,4.28944816468703e-11,9.88072053979331e-11,5.06228902595942e-10,0.782193149892613,0.204627735687354,0.0504078206704999,0.195931320507883,"MER52.int.ERV1.LTR"
"MER52A.ERV1.LTR",0.251616364892852,0.303601792786645,0.828771011473157,3.96417253262027,0,0,0,0,1,0,0,0.102517464018994,"MER52A.ERV1.LTR"
"MER52C.ERV1.LTR",0.320568444935307,0.504781892287118,0.635063281455764,3.61049420711637,0.0304370047877385,0.0644054781323819,9.87574499394865e-11,9.86067278569703e-11,0.905157516882515,0.0780656056831245,0.0184740253820164,0.218173410071237,"MER52C.ERV1.LTR"
"MER52D.ERV1.LTR",0.28036913625801,0.36464397513887,0.7688845980555,3.08590402672076,1.78570675384073e-09,0.0954612004794761,6.71656622374504e-09,0.0203530758397931,0.884185715178458,0,0,0.127621431643007,"MER52D.ERV1.LTR"
"MER53.hAT.DNA",0.18704065063542,0.29423803448648,0.635678018179579,4.20762208059119,0.322367596788129,0.035292166783529,0.00294576158315904,1.44041172609572e-11,0.639394474830779,0.328569267190554,0.0269705310554833,0.0551142338590688,"MER53.hAT.DNA"
"MER54A.ERVL.LTR",0.247619519951107,0.421975487364925,0.586810199562528,3.8829785092297,0.371692337367331,0,1.06764752371757e-07,2.81051217611335e-08,0.628307527762795,0.375771889488452,0.0673263151335164,0.111841730739126,"MER54A.ERVL.LTR"
"MER54B.ERVL.LTR",0.34559782242031,0.516113853596469,0.669615473431024,1.25266189705971,4.26583333990911e-05,0.224887256506851,0,1.1983150895051e-07,0.775069965328241,0,0,0.210231686211563,"MER54B.ERVL.LTR"
"MER57.int.ERV1.LTR",0.154840152323917,0.275710549622533,0.561604017459265,3.6077711227657,0.473646588648681,1.15057037080564e-11,0,0.0142485231272395,0.512104888212574,0.495799902456733,0.0377678477188229,0.0384077374954537,"MER57.int.ERV1.LTR"
"MER57A.int.ERV1.LTR",0.214768192874439,0.327645087595704,0.655490349177616,2.5937386048307,0.334591608339307,0.00681284002528266,1.84308097341687e-11,0.0726071633830725,0.585988388233907,0.367945996448265,0.0363416828540301,0.0624273843591796,"MER57A.int.ERV1.LTR"
