"","GWAS","eQTL","combined_score"
"NUDT5",0.149253731343284,0.0120360709494709,0.0423842954397147
"PRKAR1A",0.0783582089552239,0.0228797138172604,0.0423416272258001
"DHX36",0.175746268656716,0.01,0.041922102601935
"TMED9",0.0167910447761194,0.103443136085855,0.0416763521652244
"PPHLN1",0.0451492537313433,0.0378968549709346,0.041364413699491
"CCDC97",0.16884328358209,0.01,0.0410905443602405
"PPA2",0.0242537313432836,0.0658443881353406,0.0399621333301594
"BAG5",0.0638059701492537,0.0248546728275451,0.0398230650817313
"LDLR",0.157089552238806,0.01,0.0396345243744398
"AKAP13",0.0208955223880597,0.0708004173498286,0.0384631213738214
"TAF9B",0.0485074626865672,0.0295125950216128,0.037836240587493
"TRAF1",0.0559701492537313,0.0242584587867044,0.0368476533711081
"PLEKHJ1",0.0615671641791045,0.0220226561335519,0.0368221738336339
"HMBS",0.0932835820895522,0.0141228200924132,0.0362963806381105
"ARHGEF6",0.0550373134328358,0.0237740348785214,0.0361726278997304
"ZNF664",0.0615671641791045,0.0209047548069757,0.0358754299113613
"QRICH1",0.0395522388059701,0.0320837680727381,0.0356228137098728
"UFL1",0.0736940298507463,0.0169548367864063,0.0353478464443304
"PRKD2",0.01,0.122074824862125,0.0349392078991676
"CCR3",0.0111940298507463,0.107653897749292,0.0347142758091648
"KAT2A",0.119776119402985,0.01,0.0346086866845573
"CHP1",0.0569029850746269,0.0208302280518706,0.0344282174376872
"IKBKG",0.0485074626865672,0.0244075122969146,0.0344085235372649
"MAPKAPK5-AS1",0.0363805970149254,0.0303696527053212,0.0332395261180951
"CTSA",0.0638059701492537,0.0164331495006707,0.0323810599965168
"LNPEP",0.0451492537313433,0.0217245491131316,0.0313184798498875
"SKP2",0.042910447761194,0.0217245491131316,0.0305321163671064
"PIGU",0.0914179104477612,0.01,0.0302353948953476
"RPL7L1",0.0354477611940299,0.0248546728275451,0.0296823601983832
"PML",0.019589552238806,0.0448651065732598,0.0296460342865023
"RRP1B",0.0298507462686567,0.0285810105827992,0.0292089796981841
"TOM1L2",0.0824626865671642,0.01,0.0287163170631549
"SH3PXD2A",0.0638059701492537,0.0127440751229691,0.0285157513819295
"CLOCK",0.041044776119403,0.0192651661946639,0.0281200005932267
"TMEM165",0.041044776119403,0.0191161126844537,0.0280110079327161
"NFU1",0.0783582089552239,0.01,0.0279925363186732
"CD300LF",0.0354477611940299,0.0219853927559994,0.027916535461472
"SSH1",0.0768656716417911,0.01,0.0277246589955208
"RTF1",0.0298507462686567,0.0247428826948875,0.0271770769819019
"FLNA",0.0485074626865672,0.0149426143985691,0.026922635650663
"ING1",0.041044776119403,0.0174765240721419,0.0267828306548509
"CNPY4",0.0569029850746269,0.0122969145923386,0.026452431788246
"DDAH2",0.0638059701492537,0.01,0.0252598436553463
"HSPA1B",0.0638059701492537,0.01,0.0252598436553463
"NRIP1",0.0569029850746269,0.01,0.0238543465797382
"MCM6",0.01,0.0544417946042629,0.0233327655035281
"MYO9B",0.0485074626865672,0.01,0.0220244097960802
"ZEB1-AS1",0.0485074626865672,0.01,0.0220244097960802
"PPFIA1",0.0111940298507463,0.0414741392159785,0.0215467573527357
"SAP130",0.0451492537313433,0.01,0.021248353755372
"ZCRB1",0.0451492537313433,0.01,0.021248353755372
"ARID1A",0.042910447761194,0.01,0.0207148371369881
"HBP1",0.042910447761194,0.01,0.0207148371369881
"APEH",0.0395522388059701,0.01,0.0198877446700148
"SORD",0.0111940298507463,0.0326427187360262,0.0191155321124104
"CSTF2T",0.01,0.0296616485318229,0.017222557455797
"PARP1",0.01,0.021128335072291,0.0145355891082168
"ANP32B",0.01,0.0129303920107319,0.0113711881572384
