"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PKNOX1",0.0995132962160921,4.60774612519706,2.49693025456565,0.0149221952544991,0.035310403988736,-3.72162173517474
"ESR1",-0.312154931563323,1.00567570328553,-2.49637982782987,0.0149434027385918,0.0353554825296349,-3.11965548029835
"SLC41A2",-0.347112295952094,1.01259271097152,-2.49630268545943,0.0149463771367086,0.0353574155446763,-3.09360021392172
"PRDM15",-0.137275276475681,4.38701076888688,-2.49578302180929,0.014966427832427,0.0353997381650522,-3.6920297802538
"HIF1A.AS2",0.782134429685845,-1.85580075652227,2.49556356287115,0.0149749027026618,0.0354142474514391,-3.03228449752468
"DDX10",-0.13145338415198,3.64268600536507,-2.49551227719925,0.0149768838297592,0.0354142474514391,-3.56529916506156
"SNHG11",-0.235140318046055,2.01144754705387,-2.49470135551012,0.0150082405001782,0.0354832737388086,-3.26251899483048
"GNG8",0.661780784212027,-1.64933121563644,2.49448572627189,0.0150165883778501,0.0354978893588036,-3.03770105650287
"LINC00494",-0.324196525347563,1.42042502451695,-2.49391524765697,0.015038694064702,0.035545018319354,-3.17736559745245
"APEH",-0.0807421968576385,6.0946479632194,-2.4932993812459,0.0150625913726256,0.0355963677009316,-3.80277085099312
"PPM1M",0.0923921046968488,6.82102042640268,2.49320891610548,0.0150661045458442,0.0355995368226414,-3.77360772633461
"CECR5",-0.115293767619217,4.46098316202016,-2.49286541299683,0.0150794510525316,0.0356259367593975,-3.70991881792613
"CREM",0.179391590807959,2.7441032545399,2.49259482281522,0.0150899720837597,0.0356456547248109,-3.4124072958464
"ABCA11P",-0.171099254588488,2.01953744205455,-2.49238715657951,0.015098050999115,0.0356595990523846,-3.26653936761005
"GTF3C5",-0.0844659159365082,5.31808957930461,-2.49228762726966,0.0151019244038497,0.0356636079329528,-3.79119712749651
"LOC102724281",0.246988689592667,1.61645832578078,2.49178784196636,0.0151213881851074,0.0357044274550822,-3.19435320022187
"PYCR2",-0.0971102654635994,5.72924052935887,-2.49151317152179,0.0151320946386672,0.0357245605060669,-3.80728896381029
"LINC00968",0.410244750614829,0.36438728651348,2.49051417613684,0.0151710922967538,0.0358114693434392,-3.04782655874981
"CHST7",0.210344827172043,4.1654661823473,2.49043321919842,0.0151742565604079,0.0358137803526101,-3.66934407379372
"LINC00304",-0.413237143006067,0.158543970886585,-2.49004251021258,0.0151895360692409,0.0358446805815391,-3.03030657540473
"ZNF484",-0.100598760967288,4.63109612816452,-2.48992892752284,0.0151939805591759,0.0358456793576479,-3.73775786995995
"REXO4",-0.114579494439719,4.0959613307761,-2.48991990479104,0.0151943336687766,0.0358456793576479,-3.66525118252849
"ACO1",-0.14066405207572,3.39035452184779,-2.48960046533363,0.0152068398678116,0.0358608895908359,-3.53612352138474
"ABL1",-0.0927198677815815,5.43748112613257,-2.48958763913954,0.0152073422124496,0.0358608895908359,-3.80301518665798
"ZNF557",-0.103313403505708,5.07796253095078,-2.48953803118389,0.0152092852746779,0.0358608895908359,-3.78039123351822
"UNC93B1",0.197714140647036,7.26931088851755,2.48953169573598,0.0152095334398621,0.0358608895908359,-3.75497315151646
"LOC102723703",0.411119387945577,-0.0692012925030094,2.48905248640481,0.0152283150627933,0.0359000079925374,-3.01828516508033
"ORM1",0.733778525766353,-0.837799778673858,2.48866753540604,0.0152434175352048,0.0359304429720224,-3.00335343894029
"PLCB2",0.117775964089536,8.97689663742259,2.4882827905758,0.0152585253819754,0.0359608818644225,-3.61926476456578
"CCDC147",0.396033577926656,0.556663129717459,2.48714749009894,0.0153031839888324,0.0360609464260207,-3.07450594981125
"GNAO1",0.199001333043146,2.34520175053754,2.48705040277168,0.0153070085045724,0.0360647732003216,-3.34233045913357
"NCOA7",0.18008663120801,5.74107265275243,2.48686639324957,0.0153142594648887,0.0360766707445825,-3.81836896575235
"DERA",0.144406069893941,3.77861220347381,2.48557233210742,0.0153653397314221,0.0361918012156189,-3.6253458778399
"KIAA1324L",-0.330508447834617,2.58747061156817,-2.4853466879998,0.0153742622189282,0.0362076136666207,-3.37245998761644
"SCFD1",0.100648680335996,5.24199451819712,2.48504343061613,0.0153862610542353,0.0362306655772791,-3.80276099194687
"KANK1",-0.274771130404123,3.22961174041655,-2.48486156276311,0.0153934609694211,0.0362345753963656,-3.51794575484608
"SLA2",0.123134025882658,5.4592036046399,2.48484002785223,0.0153943137095573,0.0362345753963656,-3.81563650509058
"ODF2L",-0.135804951360654,4.61202692789103,-2.48483395521428,0.0153945541817618,0.0362345753963656,-3.7399602740989
"WWOX",-0.194779414998863,2.69782168263064,-2.48476755782982,0.0153971836920524,0.036235560529731,-3.40489458739246
"CROCCP2",-0.122957732545745,5.14849835937871,-2.48470919823536,0.0153994952183693,0.0362357971477177,-3.79787811919779
"ACVR1B",0.108025152157151,4.99295571775913,2.48405662534785,0.0154253638087243,0.0362914567127739,-3.78846816355829
"CERS5",0.08215375911713,4.74004701748116,2.48325778740556,0.0154570836787894,0.0363608647067144,-3.76426655704766
"RASD1",0.662141611986203,-0.97956060341156,2.48236181899046,0.0154927301388387,0.0364394882671395,-3.02024380149354
"SNORA2B",-0.664788870321233,-1.12435744545481,-2.48221529941737,0.0154985665060719,0.0364479848569397,-3.02675328697406
"ZNF543",-0.12808169536705,3.49392135076494,-2.48189197688319,0.0155114525252938,0.036473055299432,-3.57474461526281
"DST",-0.179755934201889,4.09592266686858,-2.48131039400438,0.0155346557624913,0.036522374593526,-3.67526983987254
"QDPR",-0.155092593971186,2.89043630211442,-2.4809472295896,0.0155491606480012,0.036551232624798,-3.46636262495122
"LOC101928186",0.357164043792065,1.69052858177283,2.48063459722588,0.0155616570219867,0.0365753616712089,-3.23047485553682
"HADH",-0.142585482929031,3.32142041131207,-2.4805420681462,0.0155653572763241,0.0365778005329067,-3.55896720742192
"ESR2",-0.487589280667105,-0.172103124217714,-2.4804970366091,0.0155671583816599,0.0365778005329067,-3.0336058304888
"TGFB3",-0.307876129850553,1.24253857214727,-2.47995630903247,0.0155888002482924,0.0366201535921717,-3.16691953621343
"GUSBP2",-0.374714124604447,0.747933677424649,-2.47993503401131,0.0155896523041419,0.0366201535921717,-3.09304330579495
"TTLL13",-0.624941526200413,-1.45633979706884,-2.47941408679833,0.0156105290951716,0.0366589596680547,-3.05304526824814
"ASNS",-0.142732246506811,3.7102542767319,-2.4794111679954,0.0156106461360274,0.0366589596680547,-3.62212586812768
"GOLGA7",0.0945071808966893,5.91484918448025,2.47920082305488,0.0156190828190093,0.036673516951396,-3.83698487154167
"DHCR7",-0.182480433476691,2.74359524299368,-2.4790534688443,0.0156249954608134,0.0366821444789099,-3.43727694335978
"ZNF761",-0.153213504649316,3.63936135529418,-2.47865197072335,0.015641115932251,0.0367147305949099,-3.60652691559787
"LOC102723564",-0.625431131688531,1.33468396158958,-2.47792220182379,0.0156704550284671,0.0367750887672415,-3.16873922390926
"CC2D1B",-0.067967307134555,6.38887284633629,-2.47790077151997,0.0156713173439755,0.0367750887672415,-3.83028948488397
"GPM6A",-0.76518808188088,-0.966673614125915,-2.4776399896017,0.0156818141408734,0.0367944526778489,-3.03269389120712
"TTK",0.375065197073474,0.971519883818972,2.47748910519843,0.0156878903117492,0.0368020952198753,-3.15273244000477
"YTHDF2",-0.0750825724612065,5.84034338313224,-2.4774475911565,0.0156895624688064,0.0368020952198753,-3.84035532382361
"BCDIN3D.AS1",-0.573828827402646,-1.07069460689311,-2.47688171140128,0.0157123716975394,0.0368503233759263,-3.0288053980933
"RP11.142C4.6",0.300781974612637,1.61251468369964,2.47675326668848,0.0157175531383876,0.0368572010852819,-3.24564486672469
"RNF215",0.201224989855052,2.23294284564885,2.47631080115892,0.0157354138926908,0.0368938051913174,-3.34828858132209
"LOC102724864",-0.4569888013627,0.213599915717856,-2.47606816081767,0.0157452161602514,0.0369095444579154,-3.06297825484716
"DERL3",-0.323291852368774,2.98625968833021,-2.4760331507279,0.0157466309628253,0.0369095444579154,-3.50041329096959
"LOC102724192",0.236793166596343,2.49097012507066,2.47522972795177,0.0157791297195082,0.0369804314275732,-3.39736923714034
"C12orf45",-0.30549389877726,1.29983043447257,-2.47462387808671,0.0158036764307259,0.0370326641440044,-3.19641550729155
"COG6",-0.111395681674036,4.26765494834689,-2.47453880946931,0.015807125830803,0.0370354517857083,-3.72114879230347
"MIR6832",0.599883195310344,-0.679619873682779,2.47439350972136,0.0158130190743221,0.0370439636376593,-3.02950401206273
"VSIG2",-0.654002192228736,-1.59485029746488,-2.47225653611756,0.0158999214009178,0.0372422197855711,-3.07760590389016
"AC012314.8",-0.495111993284176,-0.477578346948108,-2.47201567626424,0.0159097430859433,0.0372598998907579,-3.03579832668047
"GGNBP2",0.0772833580656331,5.67765697580141,2.47176632152819,0.0159199169145639,0.0372783995303311,-3.85135108124818
"NCOA6",0.0800157249092397,6.30548766355981,2.4712653573399,0.0159403742361278,0.037320970479414,-3.84898919621158
"DNPEP",-0.111739998076243,4.78181776868095,-2.47116230147443,0.0159445855426919,0.0373254906779383,-3.79513040725387
"KCNAB2",0.0977000131271364,8.27950261426872,2.47106658250032,0.0159484979276317,0.0373254906779383,-3.71551461330945
"HBEGF",0.524774341979071,-0.188677676444065,2.47105094184438,0.0159491373004821,0.0373254906779383,-3.05339538482065
"TSPAN7",0.318328615766049,2.35725989623015,2.47057717719646,0.0159685151961958,0.0373655047901846,-3.38481140637009
"PEA15",-0.158540161637755,5.3872101345146,-2.46981463373196,0.0159997491307311,0.0374308220518722,-3.84518707761617
"PRPF31",-0.0835454033668173,4.77499151682553,-2.46978419691438,0.0160009969671985,0.0374308220518722,-3.80115590551423
"TCF25",0.0708762925735944,7.01433140909112,2.46934709305949,0.0160189268218471,0.0374674171090699,-3.81805178144065
"LRRC8A",0.0847940937442524,5.80345309152539,2.46910237112492,0.0160289731133026,0.037485565118995,-3.85924660077371
"DUSP8",-0.269885911464969,1.56561992267376,-2.46810838977295,0.0160698361043229,0.0375757660028176,-3.24735699910153
"ZNF541",-0.523721802683462,-0.373723290379758,-2.46764672567483,0.0160888471127775,0.0376148524010428,-3.04386640976843
"MLLT1",0.097645776981004,6.57580510998408,2.46746128984807,0.0160964889168478,0.0376273508569703,-3.84505687524457
"MEF2BNB",0.154569188832684,3.43798377159545,2.46675114570032,0.0161257840902539,0.0376904557123748,-3.60196621416673
"SSBP2",-0.116486263041438,5.00522792924432,-2.466478976786,0.0161370244070894,0.037706670860616,-3.82557621306608
"PC",-0.194799492291877,2.42128285316958,-2.46647174499831,0.0161373231689768,0.037706670860616,-3.40475438387434
"RAP2A",0.116202005087894,5.88301174734148,2.46595001716752,0.0161588900645932,0.037751682005505,-3.86610658804303
"EDEM1",-0.0972032146826205,7.77455523628913,-2.46582246210431,0.0161641668014383,0.0377586273815241,-3.77082764038791
"SMN1",-0.288832336986573,0.967480942878983,-2.46558048837471,0.0161741810970855,0.0377766358843002,-3.1635044349986
"GIGYF2",0.0552253880048643,6.36976071209376,2.46535268133209,0.0161836141835164,0.0377932819683172,-3.86089067843755
"SMCO4",0.235646481619656,3.17584557514662,2.46505401935339,0.0161959887319171,0.0378155994039071,-3.55727799593606
"CRLS1",-0.100006695333613,4.12243022168188,-2.46501066921837,0.0161977855766324,0.0378155994039071,-3.7290002127214
"TSN",-0.0778397437948826,5.29903320570527,-2.46443791254777,0.0162215429111705,0.0378656696725784,-3.85283013484555
"RPL34",-0.109436763638557,7.10164722074484,-2.46429196645634,0.0162276015992551,0.0378744179165753,-3.82540129618739
"LINC01191",0.496118188603696,-0.0559873779562177,2.46360046150102,0.0162563358082937,0.0379360796756549,-3.06601178049283
"PAFAH1B3",-0.211042612509972,2.57934655693011,-2.46329319268198,0.01626911844954,0.0379605043094407,-3.45279395566081
"ALG2",-0.108979117169132,4.3031287916672,-2.46292638333963,0.016284389843612,0.0379907281347981,-3.75839283671954
"KLRC4.KLRK1",-0.37879071246828,0.525665207484378,-2.46273031174009,0.0162925581811611,0.0380043746130157,-3.10463210824543
"TIMM21",-0.213393979413955,2.27814733766987,-2.462645327492,0.0162960997653047,0.0380072262777258,-3.36590499308071
"PITPNB",0.0806461316235163,5.45061266476454,2.4624726950524,0.0163032960774142,0.0380185998026097,-3.86562831648484
"SPATA41",-0.363648559227265,0.295343770469751,-2.46195020302093,0.0163250939368939,0.0380640154405683,-3.09200374971058
"STMN1",-0.245302175732518,3.72504111656041,-2.46150268849349,0.016343784606731,0.0381021743840275,-3.65789266663055
"SSPO",-0.154473351542846,3.60781887586061,-2.46119920253163,0.0163564707803654,0.038126326215248,-3.64339664560998
"LOC102724675",-0.633442177905223,-0.866095751065647,-2.46056514150028,0.0163830040256375,0.0381827435972942,-3.06310372601632
"DNMT3A",-0.0902939391820921,6.79211534387214,-2.45941811670718,0.0164311012053672,0.0382853702791062,-3.85388579696154
"C6orf1",0.132486712045889,4.18508092060259,2.45937937011204,0.0164327281429956,0.0382853702791062,-3.75088516238806
"MRPS33",-0.211588048912506,2.38436911124327,-2.45934798697211,0.0164340460011906,0.0382853702791062,-3.40244387236792
"RNF8",-0.14343152946833,3.09874114815216,-2.45924886120782,0.0164382091682564,0.0382896262163948,-3.54971553654097
"HK3",0.154722286202633,7.90181322107938,2.45789370601062,0.0164952191229085,0.0384169598131799,-3.77614718740908
"ATR",-0.0868257139613098,6.14325818956379,-2.45712754244689,0.0165275292848172,0.0384867401888134,-3.88422934441127
"AC074138.3",-0.245288432180763,1.38957398779184,-2.45672221093447,0.0165446456297464,0.0385211247657216,-3.23864554800787
"SRSF1",-0.0538346164846377,7.88552421829833,-2.45656312870505,0.0165513677021519,0.0385313018850238,-3.78323848167003
"SCO2",0.315905268789989,4.88371254280155,2.4564744094299,0.0165551176290821,0.0385345579921924,-3.83902784894325
"GNL1",-0.102055612251366,5.10739829738814,-2.45631463292794,0.0165618728782902,0.0385448075265973,-3.86184590938406
"UBL3",0.0810844292498518,6.32279444287039,2.45554753735973,0.0165943396513413,0.038614884643736,-3.88373444760108
"SLC52A2",-0.114276210559722,4.46029387038357,-2.45533396954462,0.0166033889148514,0.038630457258021,-3.79815405375366
"MCF2L2",-0.287737147637134,1.1151215860681,-2.45519864667974,0.0166091250865768,0.0386383181041743,-3.20879287951784
"AKIP1",-0.206336474889404,2.29609610529053,-2.45453607590552,0.0166372363323136,0.0386982211538869,-3.40150268406095
"GUF1",-0.113679325793663,4.65203018172786,-2.45447901124967,0.0166396594406835,0.0386983650593674,-3.82118277110344
"MACROD2",-0.352918782026096,1.25241231766419,-2.45324829525484,0.016691995843454,0.0388145743300749,-3.21407107727293
