"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PDCD6",0.0223032152388183,5.19150216971302,0.716082792779733,0.476360653457092,0.598105780242725,-6.46517641606733
"C5orf20",-0.0888004218709053,1.71042370669759,-0.715917299036619,0.476462190845931,0.598187440307489,-5.8026155910838
"ZSCAN32",-0.0273279590478972,4.35415813680959,-0.715822966107612,0.476520073496295,0.598214284529359,-6.36819027111023
"LOC101060494",0.133071243347776,0.169782147480557,0.715488282135988,0.476725467211853,0.598426293055688,-5.4156894591334
"NIPAL2",-0.0536659647340323,3.60584843160518,-0.715360448816828,0.476803930891977,0.598478947950418,-6.21900429109337
"SLC2A8",0.0663160558728593,2.11469870973858,0.714838689347767,0.477124260106285,0.598835158437885,-5.90596592827019
"ALOX15B",0.126203441557836,-0.172126313185064,0.714550116924327,0.477301478060063,0.599011710232512,-5.37062359746655
"LOC102724517",0.0791178629203837,1.50730294300172,0.714331990090441,0.477435458427379,0.599089672886662,-5.74919829729101
"KDM5C",0.0210099053478725,7.66135905536984,0.714329954874677,0.47743670861997,0.599089672886662,-6.39872226211326
"SPATC1",-0.118154720375901,-0.185918381367762,-0.713948440987394,0.477671097346207,0.599337897290383,-5.38606398181761
"HDHD1",-0.0350103351979469,3.73098577575891,-0.713810674267805,0.47775575218108,0.599398225713521,-6.27077303644053
"CD163L1",0.151988786229459,-1.2579453012956,0.713485227729259,0.477955765726078,0.599603264274701,-5.17515110301343
"DAG1",-0.0300054407740542,4.74117971072294,-0.713202115772356,0.478129799250594,0.599775681585762,-6.42421186659979
"CBR3.AS1",0.0835395613713202,0.469646388572729,0.7128465894508,0.478348397191387,0.600003970730878,-5.52202574582015
"LOC100130298",-0.120795265187179,-0.00820848719797159,-0.712161075773132,0.478770047767,0.600486899277062,-5.42674098006168
"SAMHD1",0.0436093363512642,9.13923031777379,0.712034738852714,0.47884777860094,0.600538433080104,-6.26514481305299
"RASA4",-0.0746501883168409,2.77753980486901,-0.711555861827614,0.479142479370356,0.600834784656964,-6.04543244634819
"DDHD1",-0.0291387625801707,5.95640704472866,-0.711531620088574,0.479157400418971,0.600834784656964,-6.49413574611238
"GATA6",0.19404898096112,-1.60588360153453,0.710754355329713,0.47963595252588,0.601388847520974,-5.11221383125499
"LATS1",-0.0189486605663229,6.38363005630019,-0.710595938676026,0.479733520338381,0.601465167137831,-6.48617791849949
"LOC101928718",0.141599356058547,-0.510092442838395,0.710515990653215,0.479782764018864,0.601480893406652,-5.29125968250092
"SRP54",0.0268117057665749,5.2508075353905,0.709678995158792,0.480298477323052,0.602003872380971,-6.47304658371083
"PSMD1",0.0208855673654891,5.54897613838724,0.709660035740914,0.480310162710268,0.602003872380971,-6.48861807804654
