"","ThreeHrMain","SixHrMain","NineHrMain","TwelveHrMain","FifteenHrMain","EighteenHrMain","TwentyoneHrMain","AveExpr","F","P.Value","adj.P.Val"
"PRSS35",-0.529183067859599,-0.86424114843746,-0.619829907358013,-0.688991804780944,-0.387592313240872,-0.218067440357017,-0.344913074235799,-1.6046760410312,1.49185908617308,0.184732463065603,0.263588746054516
"BACE2",0.0853479351388315,-0.113495144635821,-0.143166598056351,-0.092272336590969,-0.0626102629521328,-0.12266498427745,-0.0382124974514599,3.50259554079119,1.4915538859028,0.184839456719696,0.263718451830686
"DUSP22",-0.0166462094960949,-0.0234236830814272,0.0229291753879011,0.0543276070260328,0.0523861655847169,-0.00989277889632767,0.0201208032730906,6.29560060303654,1.49146180765384,0.184871747192652,0.263741562042163
"LOC101928474",0.274958663477011,0.475309546201581,1.23562670370936,0.938326534795677,0.520340921498921,0.375094420559215,0.835321797553617,-3.08901302698888,1.49126236813134,0.184941704715304,0.263818400085222
"PPP1R35",-0.0711742294951407,-0.0889790882566741,-0.095022003413999,-0.134143415688163,-0.0559340204369096,-0.0986163945357559,-0.14789621671495,4.41681452722359,1.49088664331871,0.185073561316609,0.2639835157892
"LOC101928514",-0.333197912146942,-0.38185333585081,-0.0913671486716013,-0.409583386523252,0.0320814165471551,-0.603078249310261,-0.388306495710186,-1.456878467552,1.49080735570935,0.185101397037988,0.264000243325697
"ZNF576",-0.0516333319381155,-0.0224183837799714,-0.0261655919965178,-0.132855127227569,0.0312604040082358,-0.083765299770985,0.013129093121939,2.68215139703752,1.49058113367891,0.185180837715451,0.264090562941048
"SH3GL1P2",-0.560085598106066,0.0854766437837894,-0.124911095494592,0.258381241781623,0.08649440391664,-0.117724749267127,-0.466600552365721,-1.72937411093825,1.48956317016704,0.185538680098305,0.264577867234936
"ZNF587B",0.0442819227108839,-0.029525368498645,-0.0494152471980316,-0.0311572275864567,-0.0622240547198771,-0.0543970747059284,0.0301025791203671,4.47431512508318,1.48929893953134,0.185631664014917,0.264687431837522
"ABCF3",0.00107306098134474,-0.0306993402604818,-0.0451124896285218,-0.0622949606673728,-0.0429759882112641,-0.00979514384456959,-0.073015868132146,5.30629283637507,1.48892442313462,0.185763528293686,0.264843528671864
"VEGFC",-0.13136464580956,0.037693046902759,0.353343677804351,0.231501211883152,-0.243286201157334,0.00329333378685465,0.267291689792075,-0.504818473849882,1.4888702155122,0.185782621204758,0.264843528671864
"AATF",-0.0240818932646731,0.0260641720474344,0.0602829206129076,0.0694869363559478,0.00363644476108593,0.016060661821506,0.00951960486555548,4.64364195155789,1.48881821825849,0.18580093720782,0.264843528671864
"WDR7",0.0425822173767134,-0.0198230806308834,-0.0456758990383674,-0.00900950617990226,0.00315625402941055,-0.0273753174072389,-0.0174519306341914,5.9620607368987,1.48876561404568,0.185819468630203,0.264843528671864
"ATP8A1",0.0188503860931357,0.0135174397871811,-0.0139967582480307,-0.0454658238540451,-0.0129100193177458,0.0482931261656763,0.00758287939490998,6.63164737468228,1.4887586057037,0.185821937653167,0.264843528671864
